bit_index,mean_value,positive_rate,entropy
458,0.456532,0.728266,0.8439418277080191
459,0.81174,0.90587,0.4501070112245288
460,0.707188,0.853594,0.6007727531219859
461,-0.68282,0.15859,0.63092569111122
462,0.49456,0.74728,0.8155608278147761
463,-0.691808,0.154096,0.6199963284568553
464,0.527648,0.763824,0.7886230587822283
465,0.527648,0.763824,0.7886230587822283
466,-0.535512,0.232244,0.7819026357499015
467,0.666236,0.833118,0.6505221694209273
468,-0.6741,0.16295,0.6413204134127191
469,-0.49456,0.25272,0.8155608278147763
470,-0.707188,0.146406,0.6007727531219859
471,-0.771644,0.114178,0.5123908501789547
472,-0.6741,0.16295,0.6413204134127191
473,-0.6741,0.16295,0.6413204134127191
474,-0.49456,0.25272,0.8155608278147763
475,0.49456,0.74728,0.8155608278147761
476,-0.50328,0.24836,0.808668423419373
477,0.771644,0.885822,0.5123908501789547
478,-0.749344,0.125328,0.5444845466068235
479,0.456532,0.728266,0.8439418277080191
480,0.707188,0.853594,0.6007727531219859
481,0.707188,0.853594,0.6007727531219859
482,-0.527648,0.236176,0.788623058782228
483,0.812596,0.906298,0.4487073642676676
484,0.50328,0.75164,0.8086684234193731
485,-0.6741,0.16295,0.6413204134127191
486,0.561084,0.780542,0.7591765912816288
487,-0.527648,0.236176,0.788623058782228
488,0.707188,0.853594,0.6007727531219859
489,-0.50328,0.24836,0.808668423419373
490,-0.569804,0.215098,0.7511150374752427
491,0.770788,0.885394,0.5136545984692212
